time,heap,rss,score,score_debug,recent_feature,entire_feature,s_recent:heap,s_recent:rss,s_entire:heap,s_entire:rss
2025-08-26T18:19:45Z,40976384,134963200,0.007,0.004,0.0079,0.0000,0.0000,0.0262,0.0000,0.0000
2025-08-26T18:19:50Z,44072960,134963200,0.006,0.004,0.0074,0.0000,0.0000,0.0247,0.0000,0.0000
2025-08-26T18:19:55Z,41074688,136310784,0.006,0.004,0.0070,0.0000,0.0000,0.0233,0.0000,0.0000
2025-08-26T18:20:00Z,36487168,136581120,0.006,0.003,0.0066,0.0000,0.0000,0.0220,0.0000,0.0000
2025-08-26T18:20:05Z,36487168,136581120,0.005,0.003,0.0062,0.0000,0.0000,0.0208,0.0000,0.0000
2025-08-26T18:20:10Z,37617664,137121792,0.005,0.003,0.0059,0.0000,0.0000,0.0196,0.0000,0.0000
2025-08-26T18:20:15Z,35266560,131395584,0.005,0.003,0.0056,0.0000,0.0000,0.0185,0.0000,0.0000
2025-08-26T18:20:20Z,32989184,126230528,0.005,0.003,0.0052,0.0000,0.0000,0.0175,0.0000,0.0000
2025-08-26T18:20:25Z,33013760,126230528,0.004,0.002,0.0050,0.0000,0.0000,0.0165,0.0000,0.0000
2025-08-26T18:20:30Z,33054720,126230528,0.004,0.002,0.0047,0.0000,0.0000,0.0156,0.0000,0.0000
2025-08-26T18:20:35Z,35397632,126767104,0.004,0.002,0.0044,0.0000,0.0000,0.0147,0.0000,0.0000
2025-08-26T18:20:40Z,47415296,127578112,0.004,0.002,0.0042,0.0000,0.0000,0.0139,0.0000,0.0000
2025-08-26T18:20:45Z,32858112,127909888,0.003,0.002,0.0039,0.0000,0.0000,0.0131,0.0000,0.0000
2025-08-26T18:20:50Z,32866304,128176128,0.003,0.002,0.0037,0.0000,0.0000,0.0124,0.0000,0.0000
2025-08-26T18:20:55Z,34127872,128176128,0.003,0.002,0.0035,0.0000,0.0000,0.0117,0.0000,0.0000
2025-08-26T18:21:00Z,34160640,128176128,0.003,0.002,0.0033,0.0000,0.0000,0.0110,0.0000,0.0000
2025-08-26T18:21:05Z,34193408,128176128,0.003,0.002,0.0031,0.0000,0.0000,0.0104,0.0000,0.0000
2025-08-26T18:21:11Z,35667968,129253376,0.003,0.001,0.0029,0.0000,0.0000,0.0098,0.0000,0.0000
2025-08-26T18:21:16Z,34430976,129789952,0.002,0.001,0.0028,0.0000,0.0000,0.0093,0.0000,0.0000
2025-08-26T18:21:21Z,34463744,130060288,0.002,0.001,0.0026,0.0000,0.0000,0.0087,0.0000,0.0000
2025-08-26T18:21:26Z,34512896,130060288,0.002,0.001,0.0025,0.0000,0.0000,0.0083,0.0000,0.0000
2025-08-26T18:21:31Z,33579008,128200704,0.002,0.001,0.0023,0.0000,0.0000,0.0078,0.0000,0.0000
2025-08-26T18:21:36Z,33685504,128200704,0.002,0.001,0.0022,0.0000,0.0000,0.0074,0.0000,0.0000
2025-08-26T18:21:41Z,33325056,128200704,0.002,0.001,0.0021,0.0000,0.0000,0.0069,0.0000,0.0000
2025-08-26T18:21:46Z,33366016,128200704,0.002,0.001,0.0020,0.0000,0.0000,0.0065,0.0000,0.0000
2025-08-26T18:21:51Z,33423360,128200704,0.002,0.001,0.0019,0.0000,0.0000,0.0062,0.0000,0.0000
2025-08-26T18:21:56Z,34545664,128200704,0.002,0.001,0.0018,0.0000,0.0000,0.0058,0.0000,0.0000
2025-08-26T18:22:01Z,47177728,128200704,0.001,0.001,0.0017,0.0000,0.0000,0.0055,0.0000,0.0000
2025-08-26T18:22:06Z,36544512,131440640,0.001,0.001,0.0016,0.0000,0.0000,0.0052,0.0000,0.0000
